policyname,displayname,policyid,parameterName,parameterValue
Allowed_SKU's,Storage accounts should be limited by allowed SKUs,/providers/Microsoft.Authorization/policyDefinitions/7433c107-6db4-4ad1-b57a-a76dce0154a1,listOfAllowedSKUs,"[Standard_LRS, Standard_GRS]"
Diagnostic_Types,Audit diagnostic setting for selected resource types,/providers/Microsoft.Authorization/policyDefinitions/7f89b1eb-583c-429a-8828-af049802c1d9,listOfResourceTypes,"[locations,operations]"
VM_Encryption,WindowsVM_reversible_encryption,/providers/Microsoft.Authorization/policyDefinitions/da0f98fe-a24b-4ad5-af69-bd0400233661,IncludeArcMachines,[false]
VM_communication_protocols,WindowsVM_communication_protocols,/providers/Microsoft.Authorization/policyDefinitions/5752e6d6-1206-46d8-8ab1-ecc2f71a8112,IncludeArcMachines,[false]
